,mark,model,generation_name,year,mileage,vol_engine,fuel,city,province,price
0,opel,combo,gen-d-2011,2015,139568,1248,Diesel,Janki,Mazowieckie,35900
1,opel,combo,gen-d-2011,2018,31991,1499,Diesel,Katowice,Śląskie,78501
2,opel,combo,gen-d-2011,2015,278437,1598,Diesel,Brzeg,Opolskie,27000
3,opel,combo,gen-d-2011,2016,47600,1248,Diesel,Korfantów,Opolskie,30800
4,opel,combo,gen-d-2011,2014,103000,1400,CNG,Tarnowskie Góry,Śląskie,35900
5,opel,combo,gen-d-2011,2017,121203,1598,Diesel,Warszawa,Mazowieckie,51900
6,opel,combo,gen-d-2011,2017,119965,1248,Diesel,Wrocław,Dolnośląskie,44700
7,opel,combo,gen-d-2011,2016,201658,1248,Diesel,Lublin,Lubelskie,29000
8,opel,combo,gen-d-2011,2014,178666,1598,Diesel,Złotów,Wielkopolskie,28900
9,opel,combo,gen-d-2011,2015,113000,1248,Diesel,Strzyżew,Mazowieckie,34900
10,opel,combo,gen-d-2011,2012,237000,1598,Diesel,Elbląg,Warmińsko-mazurskie,24800
11,opel,combo,gen-d-2011,2017,137000,1248,Diesel,Warszawa,Mazowieckie,39900
12,opel,combo,gen-d-2011,2016,154000,1248,Diesel,Sosnowiec,Śląskie,35900
13,opel,combo,gen-d-2011,2017,59339,1248,Diesel,Wrocław,Dolnośląskie,55300
14,opel,combo,gen-d-2011,2016,137445,1598,Diesel,Opole,Opolskie,34700
15,opel,combo,gen-d-2011,2016,141859,1248,Diesel,Katowice,Śląskie,39900
16,opel,combo,gen-d-2011,2012,195000,1598,Diesel,Radom,Mazowieckie,25900
17,opel,combo,gen-d-2011,2015,180000,1598,Diesel,Chmieleń,Dolnośląskie,32900
18,opel,combo,gen-d-2011,2018,107515,1499,Diesel,Piaseczno,Mazowieckie,62000
19,opel,combo,gen-d-2011,2017,149000,1598,Diesel,Góra Kalwaria,Mazowieckie,39852
20,opel,combo,gen-d-2011,2017,101800,1248,Diesel,Legnica,Dolnośląskie,44990
21,opel,combo,gen-d-2011,2012,164000,1598,Diesel,Wodzisław Śląski,Śląskie,15500
22,opel,combo,gen-d-2011,2016,124000,1368,Gasoline,Wolbrom,Małopolskie,40900
23,opel,combo,gen-d-2011,2018,91000,1600,Diesel,Warszawa,Mazowieckie,53600
24,opel,combo,gen-d-2011,2016,155450,1598,Diesel,Pogorzela,Wielkopolskie,37500
25,opel,combo,gen-d-2011,2015,125327,1598,Diesel,Zawiercie,Śląskie,39900
26,opel,combo,gen-d-2011,2018,185000,1248,Diesel,Wyszków,Mazowieckie,39975
27,opel,combo,gen-d-2011,2015,195000,1248,Diesel,Jasło,Podkarpackie,20999
28,opel,combo,gen-d-2011,2015,135000,1248,Diesel,Kraków,Małopolskie,39000
29,opel,combo,gen-d-2011,2018,135403,1499,Diesel,Piaseczno,Mazowieckie,62000
30,opel,combo,gen-d-2011,2018,117320,1598,Diesel,Tarnowskie Góry,Śląskie,53874
31,opel,combo,gen-d-2011,2016,133700,1598,Diesel,Stróża,Małopolskie,38900
32,opel,combo,gen-d-2011,2015,139568,1248,Diesel,Janki,Mazowieckie,35900
33,opel,combo,gen-d-2011,2018,31991,1499,Diesel,Katowice,Śląskie,78501
34,opel,combo,gen-d-2011,2015,278437,1598,Diesel,Brzeg,Opolskie,27000
35,opel,combo,gen-d-2011,2016,47600,1248,Diesel,Korfantów,Opolskie,30800
36,opel,combo,gen-d-2011,2014,103000,1400,CNG,Tarnowskie Góry,Śląskie,35900
37,opel,combo,gen-d-2011,2017,121203,1598,Diesel,Warszawa,Mazowieckie,51900
38,opel,combo,gen-d-2011,2017,119965,1248,Diesel,Wrocław,Dolnośląskie,44700
39,opel,combo,gen-d-2011,2016,201658,1248,Diesel,Lublin,Lubelskie,29000
40,opel,combo,gen-d-2011,2014,178666,1598,Diesel,Złotów,Wielkopolskie,28900
41,opel,combo,gen-d-2011,2015,113000,1248,Diesel,Strzyżew,Mazowieckie,34900
42,opel,combo,gen-d-2011,2012,237000,1598,Diesel,Elbląg,Warmińsko-mazurskie,24800
43,opel,combo,gen-d-2011,2017,137000,1248,Diesel,Warszawa,Mazowieckie,39900
44,opel,combo,gen-d-2011,2016,154000,1248,Diesel,Sosnowiec,Śląskie,35900
45,opel,combo,gen-d-2011,2017,59339,1248,Diesel,Wrocław,Dolnośląskie,55300
46,opel,combo,gen-d-2011,2016,137445,1598,Diesel,Opole,Opolskie,34700
