date,product,region,sales_amount,units_sold,cost
2024-01-01,Laptop,North,259.12,25,155.47
2024-01-01,Laptop,South,177.2,17,106.32
2024-01-01,Laptop,East,242.51,24,145.51
2024-01-01,Laptop,West,246.72,24,148.03
2024-01-01,Desktop,North,174.61,17,104.76
2024-01-01,Desktop,South,130.96,13,78.57
2024-01-01,Desktop,East,204.94,20,122.96
2024-01-01,Desktop,West,168.04,16,100.83
2024-01-01,Tablet,North,134.6,13,80.76
2024-01-01,Tablet,South,117.35,11,70.41
2024-01-01,Tablet,East,123.51,12,74.1
2024-01-01,Tablet,West,112.24,11,67.34
2024-01-01,Monitor,North,99.98,9,59.99
2024-01-01,Monitor,South,51.71,5,31.03
2024-01-01,Monitor,East,65.69,6,39.41
2024-01-01,Monitor,West,73.67,7,44.2
2024-01-01,Keyboard,North,51.19,5,30.72
2024-01-01,Keyboard,South,47.35,4,28.41
2024-01-01,Keyboard,East,47.79,4,28.68
2024-01-01,Keyboard,West,39.67,3,23.8
2024-01-02,Laptop,North,295.48,29,177.29
2024-01-02,Laptop,South,175.94,17,105.57
2024-01-02,Laptop,East,224.72,22,134.83
2024-01-02,Laptop,West,159.52,15,95.71
2024-01-02,Desktop,North,167.34,16,100.4
2024-01-02,Desktop,South,138.78,13,83.27
2024-01-02,Desktop,East,138.38,13,83.03
2024-01-02,Desktop,West,160.15,16,96.09
2024-01-02,Tablet,North,132.66,13,79.59
2024-01-02,Tablet,South,104.5,10,62.7
2024-01-02,Tablet,East,121.58,12,72.95
2024-01-02,Tablet,West,154.7,15,92.82
2024-01-02,Monitor,North,96.89,9,58.14
2024-01-02,Monitor,South,61.39,6,36.84
2024-01-02,Monitor,East,99.85,9,59.91
2024-01-02,Monitor,West,66.26,6,39.75
2024-01-02,Keyboard,North,62.56,6,37.54
2024-01-02,Keyboard,South,32.28,3,19.37
2024-01-02,Keyboard,East,44.67,4,26.8
2024-01-02,Keyboard,West,52.04,5,31.23
2024-01-03,Laptop,North,270.78,27,162.47
2024-01-03,Laptop,South,187.77,18,112.66
2024-01-03,Laptop,East,220.03,22,132.02
2024-01-03,Laptop,West,194.46,19,116.68
2024-01-03,Desktop,North,143.23,14,85.94
2024-01-03,Desktop,South,122.78,12,73.67
2024-01-03,Desktop,East,156.48,15,93.89
2024-01-03,Desktop,West,176.41,17,105.84
2024-01-03,Tablet,North,153.94,15,92.36
2024-01-03,Tablet,South,81.33,8,48.8
2024-01-03,Tablet,East,140.73,14,84.44
2024-01-03,Tablet,West,115.17,11,69.1
2024-01-03,Monitor,North,87.93,8,52.76
2024-01-03,Monitor,South,79.87,7,47.92
2024-01-03,Monitor,East,103.15,10,61.89
2024-01-03,Monitor,West,92.57,9,55.54
2024-01-03,Keyboard,North,53.5,5,32.1
2024-01-03,Keyboard,South,43.7,4,26.22
2024-01-03,Keyboard,East,58.69,5,35.22
2024-01-03,Keyboard,West,58.19,5,34.91
2024-01-04,Laptop,North,228.42,22,137.05
2024-01-04,Laptop,South,179.24,17,107.55
2024-01-04,Laptop,East,188.69,18,113.22
2024-01-04,Laptop,West,168.84,16,101.31
2024-01-04,Desktop,North,206.19,20,123.72
2024-01-04,Desktop,South,165.66,16,99.39
2024-01-04,Desktop,East,167.12,16,100.27
2024-01-04,Desktop,West,176.13,17,105.68
2024-01-04,Tablet,North,155.22,15,93.13
2024-01-04,Tablet,South,100.1,10,60.06
2024-01-04,Tablet,East,142.28,14,85.37
2024-01-04,Tablet,West,150.52,15,90.31
2024-01-04,Monitor,North,97.75,9,58.65
2024-01-04,Monitor,South,90.6,9,54.36
2024-01-04,Monitor,East,55.5,5,33.3
2024-01-04,Monitor,West,91.75,9,55.05
2024-01-04,Keyboard,North,62.2,6,37.32
2024-01-04,Keyboard,South,44.05,4,26.43
2024-01-04,Keyboard,East,57.06,5,34.23
2024-01-04,Keyboard,West,36.28,3,21.77
2024-01-05,Laptop,North,239.24,23,143.54
2024-01-05,Laptop,South,195.0,19,117.0
2024-01-05,Laptop,East,275.32,27,165.19
2024-01-05,Laptop,West,190.41,19,114.25
2024-01-05,Desktop,North,163.53,16,98.12
2024-01-05,Desktop,South,128.86,12,77.32
2024-01-05,Desktop,East,192.57,19,115.54
2024-01-05,Desktop,West,161.87,16,97.12
2024-01-05,Tablet,North,136.85,13,82.11
2024-01-05,Tablet,South,119.53,11,71.72
2024-01-05,Tablet,East,137.85,13,82.71
2024-01-05,Tablet,West,141.01,14,84.61
2024-01-05,Monitor,North,88.75,8,53.25
2024-01-05,Monitor,South,70.61,7,42.36
2024-01-05,Monitor,East,85.45,8,51.27
2024-01-05,Monitor,West,64.82,6,38.89
2024-01-05,Keyboard,North,64.45,6,38.67
2024-01-05,Keyboard,South,48.1,4,28.86
2024-01-05,Keyboard,East,56.68,5,34.01
2024-01-05,Keyboard,West,49.73,4,29.84
2024-01-06,Laptop,North,197.67,19,118.6
2024-01-06,Laptop,South,175.11,17,105.07
2024-01-06,Laptop,East,216.6,21,129.96
2024-01-06,Laptop,West,183.12,18,109.87
2024-01-06,Desktop,North,182.11,18,109.27
2024-01-06,Desktop,South,148.03,14,88.82
2024-01-06,Desktop,East,217.61,21,130.57
2024-01-06,Desktop,West,159.32,15,95.59
2024-01-06,Tablet,North,154.74,15,92.84
2024-01-06,Tablet,South,110.67,11,66.4
2024-01-06,Tablet,East,98.75,9,59.25
2024-01-06,Tablet,West,123.83,12,74.3
2024-01-06,Monitor,North,100.32,10,60.19
2024-01-06,Monitor,South,101.19,10,60.71
2024-01-06,Monitor,East,88.62,8,53.17
2024-01-06,Monitor,West,86.49,8,51.9
